time,lat,lon,height,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,lat_std,lon_std,height_std,Q,ns
2024-12-04 22:05:26.507,71.33668887,-156.563494523,-1.212,0.0025,0.0024,0.007,0.001,0.001,0.0026,0.45,40.27,2.4481e-07,6.5705e-07,0.0078,1,34
2024-12-04 22:05:27.851,71.336689082,-156.563496043,-1.198,0.0025,0.0024,0.0067,0.0009,0.0007,0.0025,0.45,44.29,4.882e-08,3.7625e-07,0.0051,1,34
2024-12-04 22:06:20.069,71.336686492,-156.563501444,-1.586,0.0025,0.0024,0.0067,0.001,0.0009,0.0026,0.45,13.2,9.155e-08,3.8251e-07,0.0025,1,34
2024-12-04 22:25:20.615,71.336433723,-156.564861422,-1.697,0.0019,0.0018,0.0057,0.0007,0.0011,0.0024,0.45,1.0,2.271e-08,1.725e-07,0.0015,2,32
